Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
0,NS,Rich,TOP,3,5,1,0.8,194,7.3,10206,386,27,15854,600,0.15,0.667,1093,20,-408,0,23753
0,NS,Peanut,JUNGLE,0,4,3,0.8,179,6.8,9115,345,32,10100,382,0.11,0.5,-1074,3,-251,0,29952
0,NS,Bay,MID,1,5,4,1,196,7.4,8834,334,26,7932,300,0.19,0.833,-1281,-12,240,0,17829
0,NS,deokdam,ADC,2,5,1,0.6,179,6.8,8135,308,29,8999,341,0.11,0.5,-2223,-27,-1988,-2,12910
0,NS,Kellin,SUPPORT,0,9,5,0.6,31,1.2,5414,205,59,7469,283,0.19,0.833,-827,-5,-195,0,15958
1,NS,Rich,TOP,1,2,5,3,194,6.3,10517,343,38,7863,257,0.2,0.6,-2230,-33,-1215,-1,18698
1,NS,Peanut,JUNGLE,2,1,6,8,175,5.7,10388,339,42,9065,296,0.26,0.8,-500,-4,-122,0,32427
1,NS,Bay,MID,2,2,6,4,253,8.3,11197,366,24,12133,396,0.26,0.8,-1007,-6,16,0,10582
1,NS,deokdam,ADC,5,0,2,8.4,320,10.4,14991,489,45,14819,484,0.23,0.7,-251,9,-224,0,12162
1,NS,Kellin,SUPPORT,0,3,10,3.3,29,0.9,6996,228,82,3505,114,0.33,1,-172,0,-257,0,12902
0,LSB,Summit,TOP,5,2,1,3,262,8.6,12705,415,42,21090,688,0.2,0.857,2230,33,1215,1,14567
0,LSB,Croco,JUNGLE,0,2,4,2,188,6.1,9196,300,46,10036,328,0.13,0.571,500,4,122,0,15887
0,LSB,FATE,MID,0,1,3,3,274,8.9,11142,364,25,11990,391,0.1,0.429,1007,6,-16,0,10849
0,LSB,Route,ADC,2,2,3,2.5,243,7.9,11285,368,28,13741,449,0.16,0.714,251,-9,224,0,9909
0,LSB,Effort,SUPPORT,0,3,5,1.7,41,1.3,6567,214,82,4724,154,0.16,0.714,172,0,257,0,13802
1,DRX,kingen,TOP,3,3,7,3.3,303,8.4,14884,413,33,14420,400,0.28,0.769,-1075,5,-491,-1,19750
1,DRX,Pyosik,JUNGLE,7,0,2,10.8,301,8.4,16023,445,112,13680,380,0.25,0.692,-558,18,647,1,11888
1,DRX,SOLKA,MID,2,1,9,11,334,9.3,14904,414,40,18742,520,0.31,0.846,-1034,15,-213,0,10117
