Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
0,BRO,Hena,ADC,3,3,2,1.7,315,10.1,13318,428,30,6337,204,0.16,1,1088,9,379,1,14607
0,BRO,Delight,SUPPORT,0,3,2,0.7,35,1.1,6161,198,89,2199,71,0.06,0.4,279,4,-234,-1,9166
1,HLE,Morgan,TOP,3,0,7,12,321,10.3,14762,475,41,11400,367,0.32,0.714,923,1,-434,0,23127
1,HLE,Arthur,JUNGLE,4,2,7,5.5,212,6.8,12163,391,42,8835,284,0.35,0.786,655,14,514,0,19772
1,HLE,Chovy,MID,3,1,8,11,336,10.8,14620,470,61,20568,661,0.35,0.786,1013,35,997,1,11904
1,HLE,Deft,ADC,4,0,6,12,324,10.4,14395,463,43,8373,269,0.32,0.714,-1088,-9,-379,-1,10925
1,HLE,Vsta,SUPPORT,0,2,11,5.5,44,1.4,7701,248,90,3904,126,0.35,0.786,-279,-4,234,1,6268
0,DWG KIA,Khan,TOP,2,4,5,1.8,398,7.6,20841,396,63,18403,349,0.13,0.636,-1312,-28,-402,0,33744
0,DWG KIA,Canyon,JUNGLE,2,2,1,1.5,321,6.1,16689,317,114,11573,220,0.06,0.273,58,21,1002,1,46476
0,DWG KIA,ShowMaker,MID,0,3,5,1.7,468,8.9,18515,352,107,8615,164,0.09,0.455,-884,-3,248,0,12664
0,DWG KIA,Ghost,ADC,6,2,3,4.5,509,9.7,23214,441,109,16232,308,0.17,0.818,-259,-4,-644,-1,16499
0,DWG KIA,BeryL,SUPPORT,1,3,5,2,56,1.1,11488,218,172,3566,68,0.11,0.545,-97,19,-174,0,23701
1,GEN,Rascal,TOP,5,5,2,1.4,484,9.2,22153,421,59,28921,549,0.13,0.5,1312,28,402,0,23421
1,GEN,Flawless,JUNGLE,2,1,5,7,250,4.7,15055,286,91,9821,186,0.13,0.5,-58,-21,-1002,-1,35065
1,GEN,Bdd,MID,6,1,2,8,492,9.3,22388,425,47,27674,525,0.15,0.571,884,3,-248,0,9500
1,GEN,Ruler,ADC,1,2,6,3.5,622,11.8,23744,451,95,15088,286,0.13,0.5,259,4,644,1,17173
1,GEN,Life,SUPPORT,0,2,5,2.5,43,0.8,10588,201,226,3684,70,0.09,0.357,97,-19,174,0,10329
0,GEN,Rascal,TOP,0,3,0,0,248,8.1,9866,324,25,4549,149,0,0,-1612,-32,-1165,0,21870
0,GEN,Flawless,JUNGLE,0,0,0,0,191,6.3,8768,288,69,2622,86,0,0,-1828,-26,-1825,-1,24976
0,GEN,Bdd,MID,0,3,2,0.7,276,9.1,10276,338,45,11784,387,0.07,1,-362,1,-209,0,14002
0,GEN,Ruler,ADC,1,2,0,0.5,312,10.3,11876,390,53,9462,311,0.03,0.5,-64,26,386,0,11175
0,GEN,Life,SUPPORT,1,4,0,0.3,34,1.1,6450,212,78,4443,146,0.03,0.5,-459,-3,-315,-1,13116
1,DWG KIA,Khan,TOP,3,1,5,8,285,9.4,13531,445,34,20472,673,0.26,0.667,1612,32,1165,0,19997
1,DWG KIA,Canyon,JUNGLE,4,1,5,9,251,8.2,12856,422,75,10946,360,0.3,0.75,1828,26,1825,1,18241
1,DWG KIA,ShowMaker,MID,1,0,4,6,285,9.4,12179,400,54,12604,414,0.16,0.417,362,-1,209,0,8743
1,DWG KIA,Ghost,ADC,4,0,5,10.8,292,9.6,13826,454,44,12271,403,0.3,0.75,64,-26,-386,0,8785
1,DWG KIA,BeryL,SUPPORT,0,0,7,8.4,48,1.6,7264,239,99,3973,131,0.23,0.583,459,3,315,1,8355
1,DWG KIA,Khan,TOP,2,0,11,15.6,174,6.5,9792,364,33,13136,488,0.48,0.867,-973,-33,-593,-1,15287
1,DWG KIA,Canyon,JUNGLE,1,1,11,12,175,6.5,9908,368,43,10935,406,0.45,0.8,377,11,218,0,28764
1,DWG KIA,ShowMaker,MID,3,1,8,11,235,8.7,11575,430,32,15578,578,0.41,0.733,-374,2,-36,0,7247
1,DWG KIA,Ghost,ADC,8,0,2,12,249,9.2,13078,486,54,11493,427,0.37,0.667,371,19,430,0,9147
1,DWG KIA,BeryL,SUPPORT,1,0,10,13.2,23,0.9,7235,269,68,5554,206,0.41,0.733,56,-13,-95,0,4202
0,GEN,Rascal,TOP,0,2,2,1,223,8.3,9139,339,32,13961,518,0.07,1,973,33,593,1,26656
0,GEN,Flawless,JUNGLE,1,4,0,0.3,147,5.5,7948,295,37,7233,269,0.04,0.5,-377,-11,-218,0,24233
0,GEN,Bdd,MID,1,2,0,0.5,259,9.6,10168,378,29,7912,294,0.04,0.5,374,-2,36,0,11859
0,GEN,Ruler,ADC,0,4,0,0,235,8.7,9239,343,22,5187,193,0,0,-371,-19,-430,0,12629
0,GEN,Life,SUPPORT,0,3,1,0.3,31,1.2,5291,196,90,2588,96,0.04,0.5,-56,13,95,0,7222
0,DRX,kingen,TOP,1,5,3,0.8,220,6.4,10837,314,29,20922,605,0.12,0.444,539,-11,-842,-1,20227
0,DRX,Pyosik,JUNGLE,2,3,6,2.7,274,7.9,13266,384,43,24585,711,0.23,0.889,1732,37,2065,2,32134
0,DRX,SOLKA,MID,3,6,5,1.3,256,7.4,11647,337,37,9781,283,0.23,0.889,250,-10,-354,0,36312
0,DRX,BAO,ADC,3,4,2,1.3,295,8.5,13467,390,34,12075,349,0.14,0.556,-402,-9,-661,0,11527
0,DRX,Becca,SUPPORT,0,5,4,0.8,49,1.4,6753,195,89,5480,159,0.12,0.444,-74,0,-135,0,15120
1,KT Rolster,Doran,TOP,4,3,14,6,239,6.9,13914,403,41,20558,595,0.52,0.783,-539,11,842,1,32984
1,KT Rolster,blank,JUNGLE,4,1,17,21,221,6.4,13892,402,111,15206,440,0.61,0.913,-1732,-37,-2065,-2,35866
1,KT Rolster,Ucal,MID,7,3,10,5.7,339,9.8,16987,491,56,29127,843,0.49,0.739,-250,10,354,0,12904
1,KT Rolster,HyBrid,ADC,8,2,4,6,320,9.3,16599,480,36,14144,409,0.35,0.522,402,9,661,0,14540
1,KT Rolster,Zzus,SUPPORT,0,0,17,20.4,39,1.1,8938,259,116,3394,98,0.49,0.739,74,0,135,0,10801
1,KT Rolster,Doran,TOP,4,1,8,12,251,8.3,12428,413,30,15492,515,0.4,0.75,-234,-16,-383,-1,28520
1,KT Rolster,blank,JUNGLE,5,1,9,14,179,5.9,11093,369,65,6686,222,0.47,0.875,189,-10,-40,0,27785
1,KT Rolster,Ucal,MID,3,2,5,4,300,10,12691,422,33,16417,545,0.27,0.5,161,0,133,0,10398
1,KT Rolster,HyBrid,ADC,4,1,3,7,295,9.8,13750,457,58,11504,382,0.23,0.438,785,2,213,0,7863
1,KT Rolster,Zzus,SUPPORT,0,2,10,5,28,0.9,6694,222,77,2814,93,0.33,0.625,191,-9,207,0,10830
0,DRX,kingen,TOP,1,3,3,1.3,253,8.4,11947,397,24,15889,528,0.13,0.571,234,16,383,1,13327
0,DRX,Pyosik,JUNGLE,0,3,5,1.7,218,7.2,10214,339,29,9455,314,0.17,0.714,-189,10,40,0,26332
0,DRX,SOLKA,MID,2,3,5,2.3,278,9.2,11526,383,41,12061,401,0.23,1,-161,0,-133,0,12804
0,DRX,BAO,ADC,3,2,2,2.5,255,8.5,12357,411,30,10205,339,0.17,0.714,-785,-2,-213,0,14220
0,DRX,Becca,SUPPORT,1,5,5,1.2,39,1.3,6804,226,79,7644,254,0.2,0.857,-191,9,-207,0,15997
1,T1,Canna,TOP,7,3,4,3.7,363,8.5,17524,412,50,13954,328,0.26,0.478,-1068,-16,-167,0,38410
1,T1,Cuzz,JUNGLE,3,3,11,4.7,255,6,15008,353,80,19286,454,0.33,0.609,-259,4,154,0,24905
1,T1,Clozer,MID,5,5,5,2,381,9,16769,395,48,16430,387,0.24,0.435,-498,7,-146,0,16777
1,T1,Teddy,ADC,8,4,12,5,417,9.8,22044,519,88,44733,1053,0.47,0.87,1104,7,397,0,20366
1,T1,Keria,SUPPORT,0,5,13,2.6,43,1,10026,236,135,5356,126,0.31,0.565,483,2,24,0,18289
0,LSB,Summit,TOP,3,5,7,2,331,7.8,16592,391,40,18524,436,0.24,0.5,1068,16,167,0,34653
0,LSB,Croco,JUNGLE,1,6,9,1.7,231,5.4,12860,303,87,3833,90,0.24,0.5,259,-4,-154,0,43877
0,LSB,FATE,MID,10,3,7,5.7,437,10.3,21750,512,40,34366,809,0.4,0.85,498,-7,146,0,14718
0,LSB,Leo,ADC,6,2,5,5.5,391,9.2,19467,458,82,14763,348,0.26,0.55,-1104,-7,-397,0,19719
0,LSB,Effort,SUPPORT,0,7,14,2,51,1.2,9438,222,139,6039,142,0.33,0.7,-483,-2,-24,0,22187
0,LSB,Summit,TOP,4,2,6,5,236,7.1,11998,359,44,27006,809,0.3,0.769,275,-20,181,0,28227
0,LSB,Croco,JUNGLE,2,5,5,1.4,133,4,9428,282,70,10436,313,0.21,0.538,-218,-38,-1549,-1,28662
0,LSB,FATE,MID,1,2,6,3.5,291,8.7,11928,357,31,20896,626,0.21,0.538,-33,3,302,0,12810
0,LSB,Leo,ADC,6,4,3,2.3,237,7.1,13627,408,43,18834,564,0.27,0.692,-2750,-48,-721,-1,16165
0,LSB,Effort,SUPPORT,0,6,5,0.8,39,1.2,6599,198,87,4019,120,0.15,0.385,-1191,16,-630,-1,18959
1,T1,Canna,TOP,2,5,7,1.8,317,9.5,13818,414,25,14178,425,0.27,0.474,-275,20,-181,0,30745
1,T1,Cuzz,JUNGLE,6,1,10,16,207,6.2,13379,401,77,13466,403,0.48,0.842,218,38,1549,1,39547
1,T1,Clozer,MID,1,1,12,13,289,8.7,12880,386,46,15848,475,0.39,0.684,33,-3,-302,0,13806
1,T1,Teddy,ADC,7,4,9,4,311,9.3,16900,506,49,15482,464,0.48,0.842,2750,48,721,1,17973
1,T1,Keria,SUPPORT,3,2,10,6.5,29,0.9,9464,283,100,18610,557,0.39,0.684,1191,-16,630,1,17406
0,NS,Rich,TOP,3,5,6,1.8,250,6.4,12516,320,46,23136,591,0.23,0.75,-1194,-26,-902,-1,34922
0,NS,Peanut,JUNGLE,1,1,7,8,255,6.5,11836,302,80,11406,291,0.2,0.667,-571,6,-201,-1,18183
0,NS,Bay,MID,2,2,5,3.5,372,9.5,15099,386,45,17967,459,0.18,0.583,636,22,983,1,15327
0,NS,deokdam,ADC,6,3,3,3,396,10.1,17125,437,61,20690,528,0.23,0.75,115,17,552,0,19455
0,NS,Kellin,SUPPORT,0,1,9,9,32,0.8,7442,190,105,5155,132,0.23,0.75,-231,15,-730,-1,15890
1,AF,Kiin,TOP,3,1,7,10,342,8.7,16314,417,52,32205,823,0.26,0.833,1194,26,902,1,30630
1,AF,Dread,JUNGLE,3,2,8,5.5,214,5.5,12827,328,76,15451,395,0.28,0.917,571,-6,201,1,37386
1,AF,Fly,MID,2,3,6,2.7,329,8.4,14351,367,41,13354,341,0.2,0.667,-636,-22,-983,-1,13928
1,AF,Bang,ADC,4,3,4,2.7,341,8.7,16052,410,84,11688,299,0.2,0.667,-115,-17,-552,0,22505
1,AF,Lehends,SUPPORT,0,3,10,3.3,29,0.7,8156,208,140,7143,182,0.26,0.833,231,-15,730,1,10446
1,AF,Kiin,TOP,1,3,6,2.3,347,8.6,16846,416,55,19635,485,0.17,0.412,387,-6,300,0,32494
1,AF,Dread,JUNGLE,11,2,2,6.5,233,5.8,17849,441,75,21894,541,0.32,0.765,1142,-5,67,0,47315
1,AF,Fly,MID,4,2,9,6.5,352,8.7,17074,422,42,37882,937,0.32,0.765,94,5,-101,0,15875
1,AF,Bang,ADC,1,5,9,2,338,8.4,15557,385,58,10416,258,0.25,0.588,-485,-18,-981,-1,21376
1,AF,Lehends,SUPPORT,0,5,10,2,64,1.6,9723,240,126,6251,155,0.25,0.588,-304,4,180,0,21507
0,NS,Rich,TOP,4,4,4,2,301,7.4,15901,393,37,34507,853,0.2,0.471,-387,6,-300,0,33328
0,NS,Peanut,JUNGLE,2,4,10,3,229,5.7,13456,333,91,11038,273,0.3,0.706,-1142,5,-67,0,40219
0,NS,Bay,MID,4,2,7,5.5,329,8.1,15188,375,44,26307,650,0.27,0.647,-94,-5,101,0,14022
0,NS,deokdam,ADC,5,2,7,6,396,9.8,17749,439,91,20169,499,0.3,0.706,485,18,981,1,19481
0,NS,Kellin,SUPPORT,2,5,11,2.6,33,0.8,9022,223,126,6687,165,0.32,0.765,304,-4,-180,0,18820
1,DWG KIA,Khan,TOP,1,6,4,0.8,308,8.9,14316,412,46,27168,782,0.14,0.625,296,11,-249,-1,19487
1,DWG KIA,Canyon,JUNGLE,3,0,1,4.8,260,7.5,13107,377,62,15165,437,0.12,0.5,601,0,372,0,35620
1,DWG KIA,ShowMaker,MID,2,0,3,6,323,9.3,14384,414,36,22098,636,0.14,0.625,-137,15,-51,0,7876
1,DWG KIA,Ghost,ADC,2,0,1,3.6,315,9.1,14732,424,74,12723,366,0.09,0.375,-408,-17,160,0,12253
1,DWG KIA,BeryL,SUPPORT,0,6,1,0.2,32,0.9,7579,218,72,4104,118,0.03,0.125,-77,18,-273,-1,22404
0,HLE,DuDu,TOP,6,3,0,2,289,8.3,12952,373,37,10480,302,0.17,0.5,-296,-11,249,1,34018
0,HLE,Arthur,JUNGLE,2,1,6,8,225,6.5,10875,313,74,5142,148,0.23,0.667,-601,0,-372,0,35537
0,HLE,Chovy,MID,1,2,9,5,324,9.3,15002,432,38,15017,432,0.29,0.833,137,-15,51,0,20196
0,HLE,Deft,ADC,3,0,6,10.8,296,8.5,13784,397,58,19691,567,0.26,0.75,408,17,-160,0,10528
0,HLE,Vsta,SUPPORT,0,2,5,2.5,15,0.4,6886,198,84,5415,156,0.14,0.417,77,-18,273,1,16498
0,HLE,DuDu,TOP,1,3,4,1.7,245,8.2,10524,354,31,8368,282,0.17,0.5,500,26,454,0,31944
0,HLE,Arthur,JUNGLE,0,7,5,0.7,135,4.5,7787,262,41,7437,250,0.17,0.5,-374,-10,-683,0,28428
0,HLE,Chovy,MID,3,4,2,1.3,282,9.5,12759,430,43,23245,783,0.17,0.5,-776,15,287,0,19314
0,HLE,Deft,ADC,5,6,2,1.2,196,6.6,10333,348,35,13293,448,0.24,0.7,-1043,-14,-353,0,16309
0,HLE,Vsta,SUPPORT,1,5,6,1.4,24,0.8,7434,250,83,10119,341,0.24,0.7,-703,5,-137,0,14946
1,DWG KIA,Khan,TOP,2,1,14,16,190,6.4,10413,351,24,17544,591,0.54,0.64,-500,-26,-454,0,25437
1,DWG KIA,Canyon,JUNGLE,3,3,15,6,167,5.6,11220,378,57,6896,232,0.61,0.72,374,10,683,0,36675
1,DWG KIA,ShowMaker,MID,11,0,11,26.4,234,7.9,14773,497,35,31913,1075,0.74,0.88,776,-15,-287,0,10962
1,DWG KIA,Ghost,ADC,8,2,9,8.5,235,7.9,13904,468,46,17168,578,0.57,0.68,1043,14,353,0,14599
1,DWG KIA,BeryL,SUPPORT,1,4,21,5.5,24,0.8,9052,305,76,14518,489,0.74,0.88,703,-5,137,0,10865
0,BRO,Hoya,TOP,3,0,0,3.6,283,7.5,13690,361,45,16029,423,0.08,0.333,-2030,-23,-614,0,22622
0,BRO,Chieftain,JUNGLE,3,4,6,2.3,250,6.6,12853,339,70,14594,385,0.24,1,488,6,311,0,26138
0,BRO,Lava,MID,2,2,5,3.5,335,8.8,14172,374,57,9580,253,0.18,0.778,-162,-16,-160,0,18813
0,BRO,Hena,ADC,1,4,7,2,351,9.3,14874,392,52,14005,370,0.21,0.889,689,5,617,0,20406
0,BRO,Delight,SUPPORT,0,3,7,2.3,29,0.8,8287,219,112,5408,143,0.18,0.778,220,-13,298,0,10139
1,DRX,kingen,TOP,7,1,3,10,353,9.3,17366,458,42,25476,672,0.26,0.769,2030,23,614,0,28391
1,DRX,Pyosik,JUNGLE,1,2,4,2.5,310,8.2,13979,369,72,10974,290,0.13,0.385,-488,-6,-311,0,30371
1,DRX,SOLKA,MID,2,1,9,11,313,8.3,14710,388,53,13789,364,0.29,0.846,162,16,160,0,8083
1,DRX,BAO,ADC,2,3,7,3,384,10.1,16077,424,65,17807,470,0.24,0.692,-689,-5,-617,0,14266
1,DRX,Becca,SUPPORT,1,2,11,6,47,1.2,9203,243,115,3667,97,0.32,0.923,-220,13,-298,0,12815
0,DRX,kingen,TOP,0,2,0,0,268,9.2,10761,369,30,9260,317,0,0,630,10,-222,0,18892
0,DRX,Pyosik,JUNGLE,0,2,0,0,222,7.6,9876,338,106,5559,190,0,0,-254,-22,-1069,-1,8590
0,DRX,SOLKA,MID,0,1,0,0,261,8.9,9601,329,37,6365,218,0,0,-309,9,302,1,7820
0,DRX,BAO,ADC,0,1,0,0,255,8.7,9771,335,31,3158,108,0,0,-417,-12,-205,0,10779
0,DRX,Becca,SUPPORT,0,2,0,0,35,1.2,5752,197,72,991,34,0,0,167,-1,-290,-1,8995
1,BRO,Hoya,TOP,1,0,5,7.2,233,8,10710,367,38,9563,328,0.21,0.75,-630,-10,222,0,12837
1,BRO,UmTi,JUNGLE,2,0,4,7.2,234,8,11449,392,70,10246,351,0.21,0.75,254,22,1069,1,16175
1,BRO,Lava,MID,1,0,5,7.2,261,8.9,12116,415,36,6441,221,0.21,0.75,309,-9,-302,-1,9199
1,BRO,Hena,ADC,4,0,1,6,299,10.2,13431,460,37,8500,291,0.17,0.625,417,12,205,0,5302
1,BRO,Delight,SUPPORT,0,0,5,6,40,1.4,6883,236,83,984,34,0.17,0.625,-167,1,290,1,5386
0,BRO,Hoya,TOP,0,3,4,1.3,267,7.4,11116,307,48,15445,426,0.11,0.5,-777,-14,32,0,25895
0,BRO,UmTi,JUNGLE,2,2,4,3,252,7,11945,330,79,13286,367,0.17,0.75,708,26,1760,2,29261
0,BRO,Lava,MID,4,2,1,2.5,352,9.7,15504,428,48,16843,465,0.14,0.625,992,10,-222,-1,22178
0,BRO,Hena,ADC,2,2,5,3.5,358,9.9,15309,422,48,17724,489,0.19,0.875,1408,17,827,1,17882
0,BRO,Delight,SUPPORT,0,3,8,2.7,42,1.2,7753,214,105,2814,78,0.22,1,92,-3,222,0,14617
1,DRX,kingen,TOP,2,0,8,12,325,9,15443,426,64,19899,549,0.28,0.833,777,14,-32,0,28883
1,DRX,Pyosik,JUNGLE,1,2,6,3.5,273,7.5,13562,374,87,14938,412,0.19,0.583,-708,-26,-1760,-2,26731
1,DRX,SOLKA,MID,0,1,6,6,303,8.4,13731,379,40,24842,685,0.17,0.5,-992,-10,222,1,12438
1,DRX,BAO,ADC,7,1,2,9,322,8.9,16487,455,28,12964,358,0.25,0.75,-1408,-17,-827,-1,16300
1,DRX,Becca,SUPPORT,2,4,7,2.3,47,1.3,9429,260,97,5639,156,0.25,0.75,-92,3,-222,0,17815
0,LSB,Summit,TOP,1,4,1,0.5,211,7.1,9037,303,27,18717,628,0.07,0.667,-524,-4,-403,0,32519
0,LSB,Croco,JUNGLE,1,5,1,0.4,157,5.3,8630,289,36,5371,180,0.07,0.667,-465,-19,-1343,-2,29068
0,LSB,FATE,MID,0,2,2,1,261,8.8,9756,327,27,12612,423,0.07,0.667,-592,-15,-582,-1,11261
0,LSB,Leo,ADC,0,3,1,0.3,262,8.8,9970,334,35,4764,160,0.03,0.333,-436,-14,-699,-1,13391
0,LSB,Effort,SUPPORT,1,4,1,0.5,33,1.1,6179,207,86,3718,125,0.07,0.667,-487,-2,-165,0,14675
1,GEN,Rascal,TOP,4,1,6,10,242,8.1,11746,394,26,19603,657,0.34,0.556,524,4,403,0,25025
1,GEN,Flawless,JUNGLE,7,0,6,15.6,180,6,11747,394,51,14420,484,0.44,0.722,465,19,1343,2,30288
1,GEN,Bdd,MID,3,1,9,12,254,8.5,12001,402,45,17693,593,0.4,0.667,592,15,582,1,9585
1,GEN,Ruler,ADC,3,0,8,13.2,343,11.5,14971,502,40,19725,662,0.37,0.611,436,14,699,1,5321
1,GEN,Life,SUPPORT,1,1,13,14,32,1.1,7846,263,88,3443,115,0.47,0.778,487,2,165,0,10617
1,GEN,Rascal,TOP,3,1,12,15,295,8.7,13566,401,23,14430,427,0.44,0.652,-138,1,-409,-1,23119
1,GEN,Flawless,JUNGLE,2,3,12,4.7,172,5.1,10995,325,52,12249,362,0.41,0.609,-324,-1,-422,0,32280
1,GEN,Bdd,MID,3,3,13,5.3,300,8.9,14178,419,41,29597,875,0.47,0.696,-1370,-3,-40,0,13612
1,GEN,Ruler,ADC,14,1,4,18,370,10.9,19682,582,103,28696,849,0.53,0.783,931,29,751,0,17285
1,GEN,Life,SUPPORT,1,4,16,4.3,18,0.5,8391,248,94,8594,254,0.5,0.739,88,-22,-1040,-1,10814
0,LSB,Summit,TOP,3,5,6,1.8,265,7.8,11993,355,28,15648,463,0.27,0.75,138,-1,409,1,36776
0,LSB,Croco,JUNGLE,3,4,9,3,155,4.6,10749,318,42,12775,378,0.35,1,324,1,422,0,31749
0,LSB,FATE,MID,4,3,7,3.7,310,9.2,15014,444,45,17947,531,0.33,0.917,1370,3,40,0,15284
0,LSB,Leo,ADC,1,6,5,1,255,7.5,10937,323,39,11788,349,0.18,0.5,-931,-29,-751,0,18781
0,LSB,Effort,SUPPORT,1,5,11,2.4,45,1.3,7533,223,108,3603,107,0.35,1,-88,22,1040,1,19820
1,AF,Kiin,TOP,2,1,8,10,320,9,14291,402,47,19689,554,0.28,0.667,283,15,210,0,31438
1,AF,Dread,JUNGLE,6,0,3,10.8,224,6.3,13341,376,86,12952,365,0.25,0.6,782,-1,423,0,23052
1,AF,Fly,MID,2,1,10,12,325,9.2,14590,411,36,10520,296,0.34,0.8,-84,-3,-591,0,7631
1,AF,Bang,ADC,5,0,5,12,328,9.2,15782,444,51,11925,336,0.28,0.667,-911,-32,-227,0,12302
1,AF,Lehends,SUPPORT,0,1,12,12,45,1.3,8459,238,108,3146,89,0.34,0.8,-134,2,-163,0,7463
0,T1,Canna,TOP,1,4,0,0.3,262,7.4,11251,317,25,14466,407,0.03,0.333,-283,-15,-210,0,27498
0,T1,Cuzz,JUNGLE,1,3,1,0.7,178,5,9999,282,72,7719,217,0.06,0.667,-782,1,-423,0,30299
0,T1,Clozer,MID,0,2,0,0,382,10.8,13803,389,24,10033,282,0,0,84,3,591,0,9868
0,T1,Teddy,ADC,1,3,1,0.7,367,10.3,15342,432,49,14304,403,0.06,0.667,911,32,227,0,15069
0,T1,Keria,SUPPORT,0,3,2,0.7,48,1.4,7279,205,150,3596,101,0.06,0.667,134,-2,163,0,8143
0,T1,Canna,TOP,4,7,2,0.9,215,5.9,11468,316,33,15200,419,0.17,0.429,-712,-9,81,0,20522
0,T1,Cuzz,JUNGLE,2,5,3,1,198,5.5,10777,297,56,12771,352,0.14,0.357,-100,-5,196,1,34143
0,T1,Clozer,MID,3,4,6,2.3,271,7.5,14098,388,39,28976,798,0.25,0.643,2136,15,879,1,17895
0,T1,Teddy,ADC,2,3,4,2,360,9.9,14597,402,58,14435,398,0.17,0.429,389,22,553,1,13630
0,T1,Keria,SUPPORT,3,5,7,2,40,1.1,8676,239,90,12954,357,0.28,0.714,1148,0,572,0,19474
1,AF,Kiin,TOP,3,3,13,5.3,211,5.8,12808,353,43,15792,435,0.44,0.667,712,9,-81,0,44890
1,AF,Dread,JUNGLE,8,3,9,5.7,303,8.3,17224,474,43,17844,492,0.47,0.708,100,5,-196,-1,23144
1,AF,Fly,MID,1,3,12,4.3,283,7.8,13282,366,42,15911,438,0.36,0.542,-2136,-15,-879,-1,12391
1,AF,Bang,ADC,12,1,7,19,255,7,17551,483,63,16393,452,0.52,0.792,-389,-22,-553,-1,15700
1,AF,Lehends,SUPPORT,0,4,17,4.3,46,1.3,9203,254,95,7620,210,0.47,0.708,-1148,0,-572,0,17760
1,NS,Rich,TOP,1,0,8,10.8,209,7.4,9688,343,20,10550,373,0.32,0.692,-884,-27,-319,0,18193
1,NS,Peanut,JUNGLE,7,1,5,12,178,6.3,11684,414,49,14639,518,0.42,0.923,1177,4,122,1,33192
1,NS,Bay,MID,0,1,9,9,239,8.5,10786,382,25,10488,371,0.32,0.692,-1142,-37,-1178,-1,9250
1,NS,deokdam,ADC,4,0,3,8.4,287,10.2,14400,510,44,12231,433,0.25,0.538,2501,34,891,1,9937
1,NS,Kellin,SUPPORT,1,0,9,12,43,1.5,7429,263,107,4799,170,0.35,0.769,591,9,-13,0,5099
0,KT Rolster,Doran,TOP,0,2,1,0.5,264,9.3,10283,364,30,12986,460,0.04,0.5,884,27,319,0,23951
0,KT Rolster,blank,JUNGLE,1,1,1,2,204,7.2,9041,320,56,7977,282,0.07,1,-1177,-4,-122,-1,10763
0,KT Rolster,Ucal,MID,1,4,1,0.5,278,9.8,10625,376,34,14147,501,0.07,1,1142,37,1178,1,12721
0,KT Rolster,HyBrid,ADC,0,2,1,0.5,203,7.2,8475,300,25,8155,289,0.04,0.5,-2501,-34,-891,-1,10267
0,KT Rolster,Zzus,SUPPORT,0,4,0,0,30,1.1,5261,186,65,2634,93,0,0,-591,-9,13,0,11425
0,KT Rolster,Doran,TOP,1,3,6,2.3,271,7.8,12847,367,36,14457,413,0.2,0.5,1146,12,224,0,24651
0,KT Rolster,blank,JUNGLE,2,1,3,5,214,6.1,11734,336,85,3951,113,0.14,0.357,697,-9,-143,0,27350
0,KT Rolster,Ucal,MID,2,4,6,2,318,9.1,13814,395,34,19418,555,0.23,0.571,205,9,118,0,13269
0,KT Rolster,HyBrid,ADC,9,1,1,10,344,9.8,17656,505,65,21993,629,0.29,0.714,-1635,-29,-923,-1,15363
0,KT Rolster,Zzus,SUPPORT,0,5,9,1.8,31,0.9,7573,217,99,4163,119,0.26,0.643,-398,-12,-607,0,14224
1,NS,Rich,TOP,3,3,3,2,233,6.7,12048,345,40,13359,382,0.17,0.429,-1146,-12,-224,0,31077
1,NS,Peanut,JUNGLE,1,4,5,1.5,237,6.8,11674,334,65,8588,246,0.17,0.429,-697,9,143,0,31484
1,NS,Bay,MID,3,2,7,5,316,9,14133,404,35,13254,379,0.29,0.714,-205,-9,-118,0,12236
1,NS,deokdam,ADC,6,3,3,3,408,11.7,17836,510,63,18985,543,0.26,0.643,1635,29,923,1,12335
1,NS,Kellin,SUPPORT,1,2,9,5,43,1.2,8412,241,108,5142,147,0.29,0.714,398,12,607,0,10196
1,T1,Zeus,TOP,3,0,8,13.2,261,9.7,12647,472,29,16920,631,0.41,0.688,975,1,521,1,19174
1,T1,Ellim,JUNGLE,4,0,9,15.6,166,6.2,10641,397,58,6405,239,0.49,0.813,1144,0,533,1,19517
1,T1,Faker,MID,4,0,6,12,255,9.5,11679,436,36,16083,600,0.37,0.625,820,1,-43,0,8282
1,T1,Gumayusi,ADC,4,0,4,9.6,274,10.2,12200,455,35,9350,349,0.3,0.5,-377,-22,-24,0,6827
1,T1,Keria,SUPPORT,1,1,10,11,38,1.4,6871,256,66,3418,128,0.41,0.688,241,9,675,1,7200
0,NS,Rich,TOP,0,3,1,0.3,228,8.5,8801,328,31,8366,312,0.04,1,-975,-1,-521,-1,20161
0,NS,Peanut,JUNGLE,1,2,0,0.5,207,7.7,9268,346,44,2591,97,0.04,1,-1144,0,-533,-1,26647
0,NS,Bay,MID,0,4,1,0.3,226,8.4,8587,320,19,9435,352,0.04,1,-820,-1,43,0,9327
0,NS,deokdam,ADC,0,2,0,0,286,10.7,10208,381,32,6665,249,0,0,377,22,24,0,9130
0,NS,Kellin,SUPPORT,0,5,0,0,28,1,5315,198,57,1635,61,0,0,-241,-9,-675,-1,8678
1,NS,Rich,TOP,4,2,12,8,274,7.7,15286,427,32,13377,373,0.45,0.762,497,-5,925,1,37193
