Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Win
DRX,Becca,SUPPORT,0,3,11,3.7,39,0,0,1.1,8237,229,0.119,110,71,17,18,3.05,1.97,0.5,0.47,0.319,3014,214,2246,554,84,0.048,0.31,0.846,,0,0,0,0,-113,-1,201,0,147,6256,12554,10,14440,1
AF,Kiin,TOP,2,3,4,2,300,8,8,8.3,13848,384,0.223,41,11,13,8,1.14,0.31,0.22,0.36,0.122,9381,6469,568,2344,260,0.193,0.17,0.75,,0,0,0,0,1075,-5,491,1,4371,5712,19608,12,22650,0
AF,Dread,JUNGLE,4,3,1,1.7,236,115,0,6.5,12327,342,0.198,69,19,29,14,1.91,0.53,0.39,0.8,0.205,10042,6654,289,3099,279,0.207,0.14,0.625,,0,0,0,0,558,-18,-647,-1,671,17263,34566,7,35265,0
AF,Fly,MID,0,3,5,1.7,288,11,0,8,13812,383,0.222,41,17,10,11,1.14,0.47,0.31,0.28,0.122,10559,438,10121,0,293,0.217,0.14,0.625,,0,0,0,0,1034,-15,213,0,4505,3728,8420,19,15459,0
AF,Bang,ADC,1,1,1,2,367,8,0,10.2,14451,401,0.233,66,25,14,12,1.83,0.69,0.33,0.39,0.196,12178,9347,2666,165,338,0.251,0.06,0.25,,0,0,0,0,-294,-2,582,1,1361,3522,4977,31,9453,0
AF,Lehends,SUPPORT,1,3,1,0.7,59,4,0,1.6,7714,214,0.124,120,69,21,27,3.33,1.91,0.75,0.58,0.356,6398,190,6046,162,178,0.132,0.06,0.25,1,0,0,0,0,113,1,-201,0,0,4736,7441,16,12833,0
AF,Kiin,TOP,2,0,13,18,237,0,4,7.9,10944,365,0.189,36,14,8,8,1.2,0.47,0.27,0.27,0.136,7664,2913,4709,42,256,0.13,0.5,0.789,,0,0,0,0,859,12,398,0,1235,1757,21849,19,15624,1
AF,Dread,JUNGLE,5,0,7,14.4,220,98,16,7.3,12453,416,0.215,49,8,14,7,1.64,0.27,0.23,0.47,0.186,10098,7268,0,2830,337,0.171,0.4,0.632,,0,0,0,0,576,-3,37,0,1940,22281,34331,9,37631,1
AF,Fly,MID,6,1,10,16,268,18,5,8.9,12677,423,0.218,44,16,11,8,1.47,0.53,0.27,0.37,0.167,13484,345,13139,0,450,0.228,0.53,0.842,1,1,0,0,0,797,9,623,1,2813,2393,6673,14,9447,1
AF,Bang,ADC,6,1,10,16,249,8,13,8.3,13431,448,0.231,46,19,15,9,1.54,0.63,0.3,0.5,0.174,16063,14056,1701,306,536,0.271,0.53,0.842,,1,1,0,0,974,18,257,0,6156,7476,11229,4,17972,1
AF,Lehends,SUPPORT,0,0,18,21.6,46,0,0,1.5,8545,285,0.147,89,45,15,12,2.97,1.5,0.4,0.5,0.337,11856,1661,9555,640,396,0.2,0.6,0.947,,0,0,0,0,867,-15,721,1,1929,11119,4830,25,6311,1
